{1,Mauro,Ovando,mauro@mauro.com,contraseña123,bartender},
{2,Martin,Bottani,martin@martin.com,chau534,cocina},
{3,Nicolas,Alvarez,nico@nico.com,123asd,socio},
{1,Mauro,Ovando,mauro@mauro.com,contraseña123,bartender,activo},
{2,Martin,Bottani,martin@martin.com,chau534,cocina,activo},
{3,Nicolas,Alvarez,nico@nico.com,123asd,socio,activo},
{4,Mauro,Ovando,mauro@mauro.com,contraseña123,bartender,activo},
{5,Martin,Bottani,martin@martin.com,chau534,cocina,activo},
{6,Nicolas,Alvarez,nico@nico.com,123asd,socio,activo},
{7,Antonio,Garibaldi,antonio@antonio.com,jojoji,mozo,activo},
{8,Carlos,Gonzales,carlos@carlos.com,montene51s,socio,activo},
{9,Maria,Dolores,maria@maria.com,tonto125,socio,activo},
{10,Jonatan,Antores,jona@jona.com,trentonono1,cocina,activo},
{11,Pablo,Allo,pablo@pablo.com,pablotosaz,candybar,actvio},
{12,Adriana,Allo,adri@adri.com,jajazjojo,mozo,activo},
